Image name,x1,y1,z1,x2,y2,z2
,1354.866667,1628.8,1,1409,1849.366667,1
,1389.733333,1641.6,1,1449,1856.733333,1
,1424.6,1654.4,1,1489,1864.1,1
,1459.466667,1667.2,1,1529,1871.466667,1
,1494.333333,1680,1,1569,1878.833333,1
,1529.2,1692.8,1,1609,1886.2,1
,1564.066667,1705.6,1,1649,1893.566667,1
,1598.933333,1718.4,1,1689,1900.933333,1
,1633.8,1731.2,1,1729,1908.3,1
,1668.666667,1744,1,1769,1915.666667,1
,1703.533333,1756.8,1,1809,1923.033333,1
,1738.4,1769.6,1,1849,1930.4,1
,1773.266667,1782.4,1,1889,1937.766667,1
,1808.133333,1795.2,1,1929,1945.133333,1
,1843,1808,1,1969,1952.5,1
,1877.866667,1820.8,1,2009,1959.866667,1
,1912.733333,1833.6,1,2049,1967.233333,1
,1947.6,1846.4,1,2089,1974.6,1
,1982.466667,1859.2,1,2129,1981.966667,1
,2017.333333,1872,1,2169,1989.333333,1
,2052.2,1884.8,1,2209,1996.7,1
,2087.066667,1897.6,1,2249,2004.066667,1
,2121.933333,1910.4,1,2289,2011.433333,1
,2156.8,1923.2,1,2329,2018.8,1
,2191.666667,1936,1,2369,2026.166667,1
,2226.533333,1948.8,1,2409,2033.533333,1
,2261.4,1961.6,1,2449,2040.9,1
,2296.266667,1974.4,1,2489,2048.266667,1
,2331.133333,1987.2,1,2529,2055.633333,1
,2366,2000,1,2569,2063,1
,2369.766667,1997.333333,1,2570.6,2060.3,1
,2373.533333,1994.666667,1,2572.2,2057.6,1
,2377.3,1992,1,2573.8,2054.9,1
,2381.066667,1989.333333,1,2575.4,2052.2,1
,2384.833333,1986.666667,1,2577,2049.5,1
,2388.6,1984,1,2578.6,2046.8,1
,2392.366667,1981.333333,1,2580.2,2044.1,1
,2396.133333,1978.666667,1,2581.8,2041.4,1
,2399.9,1976,1,2583.4,2038.7,1
,2403.666667,1973.333333,1,2585,2036,1
,2407.433333,1970.666667,1,2586.6,2033.3,1
,2411.2,1968,1,2588.2,2030.6,1
,2414.966667,1965.333333,1,2589.8,2027.9,1
